target_rep	edit_rate
PALB2_X10_R1R2_D05	0.212621
PALB2_X10_R3R4_D05	0.216054
PALB2_X10_R7R8_D05	0.215097
PALB2_X11_R1R2R3_D05_SGE086_DNA	0.163312
PALB2_X11_R4R5R6_D05_SGE086_DNA	0.159964
PALB2_X11_R7R8R9_D05_SGE086_DNA	0.175337
PALB2_X12A_R1R4_D05	0.261807
PALB2_X12A_R2R5_D05	0.268638
PALB2_X12A_R3R6_D05	0.269591
PALB2_X12B_R3R4_D05	0.217254
PALB2_X12B_R5R6_D05	0.206562
PALB2_X12B_R7R8_D05	0.218294
PALB2_X13A_R1R4_D05	0.250677
PALB2_X13A_R2R5_D05	0.2764
PALB2_X13A_R3R6_D05	0.275533
PALB2_X13B_R1R2R3_D05_SGE064_DNA	0.341256
PALB2_X13B_R4R5R6_D05_SGE064_DNA	0.334063
PALB2_X13B_R7R8R9_D05_SGE064_DNA	0.334559
PALB2_X1A_R1R2_D05	0.41847
PALB2_X1A_R3R4_D05	0.408227
PALB2_X1A_R7R8_D05	0.411784
PALB2_X1B_R3R4_D05	0.336026
PALB2_X1B_R5R6_D05	0.337172
PALB2_X1B_R7R8_D05	0.337471
PALB2_X2_R1R4_D05	0.363569
PALB2_X2_R2R5_D05	0.337424
PALB2_X2_R3R6_D05	0.346793
PALB2_X3_R1R2R3_D05_SGE084_DNA	0.256638
PALB2_X3_R4R5R6_D05_SGE084_DNA	0.254456
PALB2_X3_R7R8R9_D05_SGE084_DNA	0.246721
PALB2_X4A_R1R2R3_D05_SGE084_DNA	0.149063
PALB2_X4A_R4R5R6_D05_SGE084_DNA	0.166057
PALB2_X4A_R7R8R9_D05_SGE084_DNA	0.164273
PALB2_X4B_R1R2R3_D05	0.103755
PALB2_X4B_R4R5R6_D05	0.111012
PALB2_X4B_R7R8R9_D05	0.0932667
PALB2_X4C_R1R4_D05	0.325056
PALB2_X4C_R2R5_D05	0.326845
PALB2_X4C_R3R6_D05	0.334573
PALB2_X4D_R1R4_D05	0.254496
PALB2_X4D_R2R5_D05	0.253717
PALB2_X4D_R3R6_D05	0.251738
PALB2_X4E_R1R4_D05	0.315663
PALB2_X4E_R2R5_D05	0.314899
PALB2_X4E_R3R6_D05	0.309776
PALB2_X4F_R1R4_D05	0.27153
PALB2_X4F_R2R5_D05	0.27045
PALB2_X4F_R3R6_D05	0.273282
PALB2_X4G_R1R4_D05	0.256139
PALB2_X4G_R2R5_D05	0.250339
PALB2_X4G_R3R6_D05	0.251684
PALB2_X4H_R1R4_D05	0.238054
PALB2_X4H_R2R5_D05	0.236294
PALB2_X4H_R3R6_D05	0.218242
PALB2_X4I_R2R5_D05	0.281549
PALB2_X4I_R3R6_D05	0.272005
PALB2_X4J_R1R4_D05	0.296692
PALB2_X4J_R2R5_D05	0.29315
PALB2_X4J_R3R6_D05	0.289772
PALB2_X4K_R1R4_D05	0.314148
PALB2_X4K_R2R5_D05	0.312613
PALB2_X4K_R3R6_D05	0.330433
PALB2_X4L_R1R4_D05	0.411666
PALB2_X4L_R2R5_D05	0.433474
PALB2_X4L_R3R6_D05	0.424695
PALB2_X4M_R1R4_D05	0.267992
PALB2_X4M_R2R5_D05	0.263275
PALB2_X4M_R3R6_D05	0.260563
PALB2_X5A_R1R4_D05	0.189405
PALB2_X5A_R2R5_D05	0.184774
PALB2_X5A_R3R6_D05	0.186938
PALB2_X5B_R1R4_D05	0.0721741
PALB2_X5B_R3R6_D05	0.0786428
PALB2_X5C_R1R4_D05	0.184473
PALB2_X5C_R2R5_D05	0.18019
PALB2_X5C_R3R6_D05	0.179085
PALB2_X5D_R1R4_D05	0.160243
PALB2_X5D_R2R5_D05	0.157453
PALB2_X5D_R3R6_D05	0.158241
PALB2_X5E_R1R2R3_D05_SGE064_DNA	0.229211
PALB2_X5E_R4R5R6_D05_SGE064_DNA	0.229435
PALB2_X5E_R7R8R9_D05_SGE064_DNA	0.224287
PALB2_X5F_R1R4_D05	0.205156
PALB2_X5F_R2R5_D05	0.180628
PALB2_X5F_R3R6_D05	0.182136
PALB2_X5G_R1R2R3_D05	0.131494
PALB2_X5G_R7R8R9_D05	0.149849
PALB2_X5H_R1R4R7_D05_SGE073	0.218185
PALB2_X5H_R2R5R8_D05_SGE073	0.220091
PALB2_X5H_R3R6R9_D05_SGE073	0.224978
PALB2_X6_R1R4_D05	0.200536
PALB2_X6_R2R5_D05	0.189059
PALB2_X6_R3R6_D05	0.202878
PALB2_X7A_R1R4_D05	0.3059
PALB2_X7A_R2R5_D05	0.313844
PALB2_X7A_R3R6_D05	0.303885
PALB2_X7B_R1R4_D05	0.271493
PALB2_X7B_R2R5_D05	0.283818
PALB2_X7B_R3R6_D05	0.27789
PALB2_X8_R1R4_D05	0.093985
PALB2_X8_R2R5_D05	0.0959405
PALB2_X8_R3R6_D05	0.0995007
PALB2_X9A_R1R2R3_D05	0.16401
PALB2_X9A_R4R5R6_D05	0.162512
PALB2_X9A_R7R8R9_D05	0.168474
PALB2_X9B_R1R2R3_D05_SGE064_DNA	0.226003
PALB2_X9B_R4R5R6_D05_SGE064_DNA	0.230026
PALB2_X9B_R7R8R9_D05_SGE064_DNA	0.231199
