target_rep	edit_rate
RAD51D_X10_R1R4_D05	0.214148
RAD51D_X10_R2R5_D05	0.220831
RAD51D_X10_R3R6_D05	0.209207
RAD51D_X1A_R1R2R3_D05	0.131941
RAD51D_X1A_R4R5R6_D05	0.125919
RAD51D_X1A_R7R8R9_D05	0.114973
RAD51D_X1B_R1R2R3_D05	0.232421
RAD51D_X1B_R4R5R6_D05	0.229286
RAD51D_X1B_R7R8R9_D05	0.243133
RAD51D_X2_R1R4_D05_SGE072	0.19552
RAD51D_X2_R3R6_D05_SGE072	0.20695
RAD51D_X3A_R1R2R3_D05	0.245683
RAD51D_X3A_R4R5R6_D05	0.221319
RAD51D_X3A_R7R8R9_D05	0.228006
RAD51D_X3B_R1R2R3_D05	0.347504
RAD51D_X3B_R4R5R6_D05	0.335418
RAD51D_X3B_R7R8R9_D05	0.352686
RAD51D_X4_R1R2R3_D05_SGE074	0.326645
RAD51D_X4_R4R5R6_D05_SGE074	0.317751
RAD51D_X5A_R1R2R3_D05	0.253567
RAD51D_X5A_R4R5R6_D05	0.243873
RAD51D_X5A_R7R8R9_D05	0.248773
RAD51D_X5B_R1R2R3_D05	0.225451
RAD51D_X5B_R1R4_D05	0.199686
RAD51D_X5B_R4R5R6_D05	0.22891
RAD51D_X6_R1R2R3_D05_SGE074	0.277622
RAD51D_X6_R4R5R6_D05_SGE074	0.286256
RAD51D_X7_R1R2R3_D05	0.39785
RAD51D_X7_R4R5R6_D05	0.389914
RAD51D_X7_R7R8R9_D05	0.384748
RAD51D_X8_R1R2R3_D05_SGE072	0.222378
RAD51D_X8_R4R5R6_D05_SGE072	0.219441
RAD51D_X8_R7R8R9_D05_SGE072	0.226598
RAD51D_X9A_R1R2R3_D05	0.225573
RAD51D_X9A_R4R5R6_D05	0.227713
RAD51D_X9B_R1R2R3_D05	0.222032
RAD51D_X9B_R4R5R6_D05	0.221497
RAD51D_X9B_R7R8R9_D05	0.123
